date,week,meal,product,M,P,F,C,FBR,SGR,K,Pg,Fg,Cg,FBRg,SGRg,Kcal
06.02.2020,20_6,1,Овсянка,50,13,6,63,9,0,360,"6,5",3,"31,5","4,5",0,180
06.02.2020,20_6,1,Яйцо белок,240,"11,1",0,1,0,0,46,"26,64",0,"2,4",0,0,"110,4"
06.02.2020,20_6,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
06.02.2020,20_6,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
06.02.2020,20_6,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
06.02.2020,20_6,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
06.02.2020,20_6,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
06.02.2020,20_6,1,Шоколад молочный,16,"8,1",55,31,,,542,"1,296","8,8","4,96",0,0,"86,72"
07.02.2020,20_6,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
07.02.2020,20_6,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
07.02.2020,20_6,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
07.02.2020,20_6,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
07.02.2020,20_6,1,рис бур вар,600,3,1,26,,,120,18,6,156,0,0,720
07.02.2020,20_6,1,хек рыба,370,"16,8","2,2",0,0,0,86,"62,16","8,14",0,0,0,"318,2"
07.02.2020,20_6,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
07.02.2020,20_6,1,Bob Snail,30,"1,3",1,27,0,0,122,"0,39","0,3","8,1",0,0,"36,6"
07.02.2020,20_6,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
07.02.2020,20_6,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
07.02.2020,20_6,1,мандарин,110,"0,8","0,3",13,,,53,"0,88","0,33","14,3",0,0,"58,3"
07.02.2020,20_6,1,помидор,140,"0,9","0,2","3,9","1,2","2,63",18,"1,26","0,28","5,46","1,68","3,682","25,2"
07.02.2020,20_6,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
07.02.2020,20_6,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
07.02.2020,20_6,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
08.02.2020,20_6,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
08.02.2020,20_6,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
08.02.2020,20_6,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
08.02.2020,20_6,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
08.02.2020,20_6,1,рис бур вар,200,3,1,26,,,120,6,2,52,0,0,240
08.02.2020,20_6,1,хек рыба,120,"16,8","2,2",0,0,0,86,"20,16","2,64",0,0,0,"103,2"
08.02.2020,20_6,1,гречка вар,400,4,1,20,"2,938090241",0,100,16,4,80,"11,75236097",0,400
08.02.2020,20_6,1,грудка,200,31,"3,6",0,0,0,165,62,"7,2",0,0,0,330
08.02.2020,20_6,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
08.02.2020,20_6,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
08.02.2020,20_6,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
08.02.2020,20_6,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
08.02.2020,20_6,1,морковь,100,"0,9","0,2",10,"2,8","4,53",41,"0,9","0,2",10,"2,8","4,53",41
08.02.2020,20_6,1,Яблоко,150,"0,3","0,2",14,2,"8,74",52,"0,45","0,3",21,3,"13,11",78
08.02.2020,20_6,1,сухари,10,"10,3","3,8","80,8",,,391,"1,03","0,38","8,08",0,0,"39,1"
08.02.2020,20_6,1,морская капуста,80,"0,5","0,5","3,8","1,3","0,6",22,"0,4","0,4","3,04","1,04","0,48","17,6"
09.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
09.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
09.02.2020,20_7,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
09.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
09.02.2020,20_7,1,гречка вар,200,4,1,20,"2,938090241",0,100,8,2,40,"5,876180483",0,200
09.02.2020,20_7,1,тунец конс,175,22,"0,7",0,0,0,96,"38,5","1,225",0,0,0,168
09.02.2020,20_7,1,Яблоко,260,"0,3","0,2",14,2,"8,74",52,"0,78","0,52","36,4","5,2","22,724","135,2"
09.02.2020,20_7,1,макароны вар 150/320,400,7,1,32,,,163,28,4,128,0,0,652
09.02.2020,20_7,1,Яйцо белок,180,"11,1",0,1,0,0,46,"19,98",0,"1,8",0,0,"82,8"
09.02.2020,20_7,1,Яйцо желток,36,"16,2","31,2","3,6",0,0,354,"5,832","11,232","1,296",0,0,"127,44"
09.02.2020,20_7,1,миндаль,23,21,49,22,,,576,"4,83","11,27","5,06",0,0,"132,48"
09.02.2020,20_7,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
09.02.2020,20_7,1,грецкий орех,10,15,65,14,,,654,"1,5","6,5","1,4",0,0,"65,4"
09.02.2020,20_7,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
09.02.2020,20_7,1,мед,15,"0,5","0,2",80,0,80,330,"0,075","0,03",12,0,12,"49,5"
09.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
09.02.2020,20_7,1,пряник,70,"6,8","4,6",74,,,355,"4,76","3,22","51,8",0,0,"248,5"
09.02.2020,20_7,1,сухари,40,"10,3","3,8","80,8",,,391,"4,12","1,52","32,32",0,0,"156,4"
09.02.2020,20_7,1,Яблоко,70,"0,3","0,2",14,2,"8,74",52,"0,21","0,14","9,8","1,4","6,118","36,4"
09.02.2020,20_7,1,чернослив,25,"2,2","0,4",64,,,240,"0,55","0,1",16,0,0,60
10.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
10.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
10.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
10.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
10.02.2020,20_7,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
10.02.2020,20_7,1,грудка,300,31,"3,6",0,0,0,165,93,"10,8",0,0,0,495
10.02.2020,20_7,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
10.02.2020,20_7,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
10.02.2020,20_7,1,Яблоко,60,"0,3","0,2",14,2,"8,74",52,"0,18","0,12","8,4","1,2","5,244","31,2"
10.02.2020,20_7,1,чернослив,30,"2,2","0,4",64,,,240,"0,66","0,12","19,2",0,0,72
10.02.2020,20_7,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
10.02.2020,20_7,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
10.02.2020,20_7,1,мед,5,"0,5","0,2",80,0,80,330,"0,025","0,01",4,0,4,"16,5"
10.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
10.02.2020,20_7,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
10.02.2020,20_7,1,творог 1,0,18,1,"1,3",0,0,86,0,0,0,0,0,0
10.02.2020,20_7,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
11.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
11.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
11.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
11.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
11.02.2020,20_7,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
11.02.2020,20_7,1,масло оливковое,12,0,92,0,0,0,824,0,"11,04",0,0,0,"98,88"
11.02.2020,20_7,1,Яйцо белок,280,"11,1",0,1,0,0,46,"31,08",0,"2,8",0,0,"128,8"
11.02.2020,20_7,1,тунец конс,170,22,"0,7",0,0,0,96,"37,4","1,19",0,0,0,"163,2"
11.02.2020,20_7,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
11.02.2020,20_7,1,чернослив,25,"2,2","0,4",64,,,240,"0,55","0,1",16,0,0,60
11.02.2020,20_7,1,помидор,360,"0,9","0,2","3,9","1,2","2,63",18,"3,24","0,72","14,04","4,32","9,468","64,8"
11.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
11.02.2020,20_7,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
12.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
12.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
12.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
12.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
12.02.2020,20_7,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
12.02.2020,20_7,1,Свинина пост,300,"19,4","7,1",0,0,0,160,"58,2","21,3",0,0,0,480
12.02.2020,20_7,1,помидор,320,"0,9","0,2","3,9","1,2","2,63",18,"2,88","0,64","12,48","3,84","8,416","57,6"
12.02.2020,20_7,1,мандарин,60,"0,8","0,3",13,,,53,"0,48","0,18","7,8",0,0,"31,8"
12.02.2020,20_7,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
12.02.2020,20_7,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
12.02.2020,20_7,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
12.02.2020,20_7,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
12.02.2020,20_7,1,мед,10,"0,5","0,2",80,0,80,330,"0,05","0,02",8,0,8,33
12.02.2020,20_7,1,чернослив,20,"2,2","0,4",64,,,240,"0,44","0,08","12,8",0,0,48
13.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
13.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
13.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
13.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
13.02.2020,20_7,1,булгур вар,600,5,1,25,7,"0,16",122,30,6,150,42,"0,96",732
13.02.2020,20_7,1,Яйцо белок,320,"11,1",0,1,0,0,46,"35,52",0,"3,2",0,0,"147,2"
13.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
13.02.2020,20_7,1,Яблоко,150,"0,3","0,2",14,2,"8,74",52,"0,45","0,3",21,3,"13,11",78
13.02.2020,20_7,1,помидор,120,"0,9","0,2","3,9","1,2","2,63",18,"1,08","0,24","4,68","1,44","3,156","21,6"
13.02.2020,20_7,1,апельсин,200,"0,9","0,1",12,3,9,47,"1,8","0,2",24,6,18,94
13.02.2020,20_7,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
13.02.2020,20_7,1,Свинина пост,100,"19,4","7,1",0,0,0,160,"19,4","7,1",0,0,0,160
13.02.2020,20_7,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
14.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
14.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
14.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
14.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
14.02.2020,20_7,1,булгур вар,300,5,1,25,7,"0,16",122,15,3,75,21,"0,48",366
14.02.2020,20_7,1,рис бур вар,300,3,1,26,,,120,9,3,78,0,0,360
14.02.2020,20_7,1,хек рыба,280,"16,8","2,2",0,0,0,86,"47,04","6,16",0,0,0,"240,8"
14.02.2020,20_7,1,Свинина пост,20,"19,4","7,1",0,0,0,160,"3,88","1,42",0,0,0,32
14.02.2020,20_7,1,фундук,20,15,61,17,,,628,3,"12,2","3,4",0,0,"125,6"
14.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
14.02.2020,20_7,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
14.02.2020,20_7,1,апельсин,200,"0,9","0,1",12,3,9,47,"1,8","0,2",24,6,18,94
14.02.2020,20_7,1,bcaa ON,20,53,0,32,0,0,337,"10,6",0,"6,4",0,0,"67,4"
14.02.2020,20_7,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
14.02.2020,20_7,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
15.02.2020,20_7,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
15.02.2020,20_7,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
15.02.2020,20_7,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
15.02.2020,20_7,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
15.02.2020,20_7,1,макароны вар 150/320,600,7,1,32,,,163,42,6,192,0,0,978
15.02.2020,20_7,1,хек рыба,300,"16,8","2,2",0,0,0,86,"50,4","6,6",0,0,0,258
15.02.2020,20_7,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
15.02.2020,20_7,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
15.02.2020,20_7,1,апельсин,170,"0,9","0,1",12,3,9,47,"1,53","0,17","20,4","5,1","15,3","79,9"
15.02.2020,20_7,1,помидор,200,"0,9","0,2","3,9","1,2","2,63",18,"1,8","0,4","7,8","2,4","5,26",36
15.02.2020,20_7,1,мед,5,"0,5","0,2",80,0,80,330,"0,025","0,01",4,0,4,"16,5"
15.02.2020,20_7,1,Квашеная капуста,20,"0,9","0,1","4,3",,,19,"0,18","0,02","0,86",0,0,"3,8"
15.02.2020,20_7,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
16.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
16.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
16.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
16.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
16.02.2020,20_8,1,булгур вар,600,5,1,25,7,"0,16",122,30,6,150,42,"0,96",732
16.02.2020,20_8,1,Яйцо белок,480,"11,1",0,1,0,0,46,"53,28",0,"4,8",0,0,"220,8"
16.02.2020,20_8,1,апельсин,250,"0,9","0,1",12,3,9,47,"2,25","0,25",30,"7,5","22,5","117,5"
16.02.2020,20_8,1,Яблоко,50,"0,3","0,2",14,2,"8,74",52,"0,15","0,1",7,1,"4,37",26
16.02.2020,20_8,1,миндаль,22,21,49,22,,,576,"4,62","10,78","4,84",0,0,"126,72"
16.02.2020,20_8,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
16.02.2020,20_8,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
16.02.2020,20_8,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
16.02.2020,20_8,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
16.02.2020,20_8,1,огурцы маринованные,30,"0,3","0,2",14,,,52,"0,15","0,1",7,0,0,26
16.02.2020,20_8,1,мед,15,"0,5","0,2",80,0,80,330,"0,075","0,03",12,0,12,"49,5"
16.02.2020,20_8,1,сухари,10,"10,3","3,8","80,8",,,391,"1,03","0,38","8,08",0,0,"39,1"
16.02.2020,20_8,1,Шоколад молочный,30,"8,1",55,31,,,542,"2,43","16,5","9,3",0,0,"162,6"
16.02.2020,20_8,1,Финик,20,"2,5","0,5",72,,,259,"0,5","0,1","14,4",0,0,"51,8"
17.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
17.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
17.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
17.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
17.02.2020,20_8,1,говядина нежирная,300,"25,7","8,1","0,2",0,0,175,"77,1","24,3","0,6",0,0,525
17.02.2020,20_8,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
17.02.2020,20_8,1,морковь,110,"0,9","0,2",10,"2,8","4,53",41,"0,99","0,22",11,"3,08","4,983","45,1"
17.02.2020,20_8,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
17.02.2020,20_8,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
17.02.2020,20_8,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
17.02.2020,20_8,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
17.02.2020,20_8,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
17.02.2020,20_8,1,мед,20,"0,5","0,2",80,0,80,330,"0,1","0,04",16,0,16,66
17.02.2020,20_8,1,сухари,120,"10,3","3,8","80,8",,,391,"12,36","4,56","96,96",0,0,"469,2"
17.02.2020,20_8,1,Финик,20,"2,5","0,5",72,,,259,"0,5","0,1","14,4",0,0,"51,8"
18.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
18.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
18.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
18.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
18.02.2020,20_8,1,гречка вар,630,4,1,20,"2,938090241",0,100,"25,2","6,3",126,"18,50996852",0,630
18.02.2020,20_8,1,грудка,300,31,"3,6",0,0,0,165,93,"10,8",0,0,0,495
18.02.2020,20_8,1,апельсин,200,"0,9","0,1",12,3,9,47,"1,8","0,2",24,6,18,94
18.02.2020,20_8,1,морковь,88,"0,9","0,2",10,"2,8","4,53",41,"0,792","0,176","8,8","2,464","3,9864","36,08"
18.02.2020,20_8,1,Яблоко,100,"0,3","0,2",14,2,"8,74",52,"0,3","0,2",14,2,"8,74",52
18.02.2020,20_8,1,масло льняное,12,0,"99,8",0,0,0,898,0,"11,976",0,0,0,"107,76"
18.02.2020,20_8,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
18.02.2020,20_8,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
19.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
19.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
19.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
19.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
19.02.2020,20_8,1,гречка вар,630,4,1,20,"2,938090241",0,100,"25,2","6,3",126,"18,50996852",0,630
19.02.2020,20_8,1,Свинина пост,300,"19,4","7,1",0,0,0,160,"58,2","21,3",0,0,0,480
19.02.2020,20_8,1,апельсин,200,"0,9","0,1",12,3,9,47,"1,8","0,2",24,6,18,94
19.02.2020,20_8,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
19.02.2020,20_8,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
19.02.2020,20_8,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
19.02.2020,20_8,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
19.02.2020,20_8,1,морковь,120,"0,9","0,2",10,"2,8","4,53",41,"1,08","0,24",12,"3,36","5,436","49,2"
19.02.2020,20_8,1,Яблоко,100,"0,3","0,2",14,2,"8,74",52,"0,3","0,2",14,2,"8,74",52
19.02.2020,20_8,1,помидор,130,"0,9","0,2","3,9","1,2","2,63",18,"1,17","0,26","5,07","1,56","3,419","23,4"
20.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
20.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
20.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
20.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
20.02.2020,20_8,1,булгур вар,630,5,1,25,7,"0,16",122,"31,5","6,3","157,5","44,1","1,008","768,6"
20.02.2020,20_8,1,Яйцо белок,480,"11,1",0,1,0,0,46,"53,28",0,"4,8",0,0,"220,8"
20.02.2020,20_8,1,Яйцо желток,45,"16,2","31,2","3,6",0,0,354,"7,29","14,04","1,62",0,0,"159,3"
20.02.2020,20_8,1,арахис,20,"25,8","49,2","16,1","8,5","3,97",567,"5,16","9,84","3,22","1,7","0,794","113,4"
20.02.2020,20_8,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
20.02.2020,20_8,1,апельсин,220,"0,9","0,1",12,3,9,47,"1,98","0,22","26,4","6,6","19,8","103,4"
20.02.2020,20_8,1,Яблоко,170,"0,3","0,2",14,2,"8,74",52,"0,51","0,34","23,8","3,4","14,858","88,4"
20.02.2020,20_8,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
21.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
21.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
21.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
21.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
21.02.2020,20_8,1,булгур вар,170,5,1,25,7,"0,16",122,"8,5","1,7","42,5","11,9","0,272","207,4"
21.02.2020,20_8,1,макароны вар 150/320,300,7,1,32,,,163,21,3,96,0,0,489
21.02.2020,20_8,1,грудка,230,31,"3,6",0,0,0,165,"71,3","8,28",0,0,0,"379,5"
21.02.2020,20_8,1,морковь,150,"0,9","0,2",10,"2,8","4,53",41,"1,35","0,3",15,"4,2","6,795","61,5"
21.02.2020,20_8,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
21.02.2020,20_8,1,bcaa ON,36,53,0,32,0,0,337,"19,08",0,"11,52",0,0,"121,32"
21.02.2020,20_8,1,апельсин,300,"0,9","0,1",12,3,9,47,"2,7","0,3",36,9,27,141
21.02.2020,20_8,1,помидор,350,"0,9","0,2","3,9","1,2","2,63",18,"3,15","0,7","13,65","4,2","9,205",63
21.02.2020,20_8,1,Шоколад Спартак 56%,20,"6,5",34,51,10,20,530,"1,3","6,8","10,2",2,4,106
21.02.2020,20_8,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
21.02.2020,20_8,1,сухари,22,"10,3","3,8","80,8",,,391,"2,266","0,836","17,776",0,0,"86,02"
21.02.2020,20_8,1,творог 1,0,18,1,"1,3",0,0,86,0,0,0,0,0,0
22.02.2020,20_8,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
22.02.2020,20_8,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
22.02.2020,20_8,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
22.02.2020,20_8,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
22.02.2020,20_8,1,макароны вар 150/320,370,7,1,32,,,163,"25,9","3,7","118,4",0,0,"603,1"
22.02.2020,20_8,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
22.02.2020,20_8,1,Яйцо белок,160,"11,1",0,1,0,0,46,"17,76",0,"1,6",0,0,"73,6"
22.02.2020,20_8,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
22.02.2020,20_8,1,курага,35,"3,4","0,5",63,,,241,"1,19","0,175","22,05",0,0,"84,35"
22.02.2020,20_8,1,сухари,20,"10,3","3,8","80,8",,,391,"2,06","0,76","16,16",0,0,"78,2"
22.02.2020,20_8,1,Шоколад Спартак 56%,8,"6,5",34,51,10,20,530,"0,52","2,72","4,08","0,8","1,6","42,4"
22.02.2020,20_8,1,помидор,200,"0,9","0,2","3,9","1,2","2,63",18,"1,8","0,4","7,8","2,4","5,26",36
22.02.2020,20_8,1,Яблоко,170,"0,3","0,2",14,2,"8,74",52,"0,51","0,34","23,8","3,4","14,858","88,4"
22.02.2020,20_8,1,горбуша Доброфлот,200,21,6,0,,,138,42,12,0,0,0,276
